season,lg,player,player_id,age
2018,nba,Giannis Antetokounmpo,antetgi01,23
2018,nba,Kevin Durant,duranke01,29
2018,nba,Klay Thompson,thompkl01,27
2018,nba,Josh Richardson,richajo01,24
2018,nba,Marcus Smart,smartma01,23
2018,nba,Andre Roberson,roberan03,26
2018,nba,Jaylen Brown,brownja02,21
2018,nba,Ben Simmons,simmobe01,21
2018,nba,P.J. Tucker,tuckepj01,32
2018,nba,Kyle Lowry,lowryky01,31
2018,nba,Russell Westbrook,westbru01,29
2018,nba,Danny Green,greenda02,30
2018,nba,Luc Mbah a Moute,mbahalu01,31
2018,nba,Ricky Rubio,rubiori01,27
2018,nba,Andre Drummond,drumman01,24
2018,nba,Gary Harris,harriga01,23
2018,nba,LaMarcus Aldridge,aldrila01,32
2018,nba,Al-Farouq Aminu,aminual01,27
2018,nba,Avery Bradley,bradlav01,27
2018,nba,Steven Adams,adamsst01,24
2018,nba,Will Barton,bartowi01,27
2018,nba,Eric Bledsoe,bledser01,28
2018,nba,Ed Davis,davised01,28
2018,nba,Derrick Favors,favorde01,26
2018,nba,LeBron James,jamesle01,33
2018,nba,DeAndre Jordan,jordade01,29
2018,nba,Damian Lillard,lillada01,27
2018,nba,Donovan Mitchell,mitchdo01,21
2018,nba,Fred VanVleet,vanvlfr01,23
2018,nba,James Harden,hardeja01,28
2018,nba,DeMar DeRozan,derozde01,28
2018,nba,Stephen Curry,curryst01,29
2018,nba,Karl-Anthony Towns,townska01,22
2018,nba,Kyrie Irving,irvinky01,25
2018,nba,Nikola Jokić,jokicni01,22
2018,nba,Clint Capela,capelca01,23
2018,nba,Trevor Ariza,arizatr01,32
2018,nba,DeMarcus Cousins,couside01,27
2018,nba,Dwight Howard,howardw01,32
2018,nba,Kevin Love,loveke01,29
2018,nba,Kristaps Porziņģis,porzikr01,22
2018,nba,Jayson Tatum,tatumja01,19
2018,nba,Kyle Kuzma,kuzmaky01,22
2018,nba,Lauri Markkanen,markkla01,20
2018,nba,Dennis Smith Jr.,smithde03,20
2018,nba,Lonzo Ball,balllo01,20
2018,nba,John Collins,collijo01,20
2018,nba,Bogdan Bogdanović,bogdabo01,25
2018,nba,Josh Jackson,jacksjo02,20
2018,nba,Bam Adebayo,adebaba01,20
2018,nba,De'Aaron Fox,foxde01,20
2018,nba,OG Anunoby,anunoog01,20
2018,nba,Jarrett Allen,allenja01,19
2018,nba,Dillon Brooks,brookdi01,22
2018,nba,Jordan Bell,belljo01,23
2018,nba,Royce O'Neale,onealro01,24
2018,nba,Miloš Teodosić,teodomi01,30
2018,nba,Zach Collins,colliza01,20
2018,nba,Luke Kennard,kennalu01,21
2018,nba,Frank Mason III,masonfr01,23
2018,nba,Malik Monk,monkma01,19
2018,nba,Frank Ntilikina,ntilila01,19
2018,nba,Semi Ojeleye,ojelese01,23
2018,nba,Sindarius Thornwell,thornsi01,23
2017,nba,Draymond Green,greendr01,26
2017,nba,Rudy Gobert,goberru01,24
2017,nba,Kawhi Leonard,leonaka01,25
2017,nba,Chris Paul,paulch01,31
2017,nba,Patrick Beverley,beverpa01,28
2017,nba,Tony Allen,allento01,35
2017,nba,Danny Green,greenda02,29
2017,nba,Anthony Davis,davisan02,23
2017,nba,Andre Roberson,roberan03,25
2017,nba,Giannis Antetokounmpo,antetgi01,22
2017,nba,Avery Bradley,bradlav01,26
2017,nba,Klay Thompson,thompkl01,26
2017,nba,John Wall,walljo01,26
2017,nba,DeAndre Jordan,jordade01,28
2017,nba,Paul Millsap,millspa01,31
2017,nba,Hassan Whiteside,whiteha01,27
2017,nba,Marcus Smart,smartma01,22
2017,nba,Jimmy Butler,butleji01,27
2017,nba,LeBron James,jamesle01,32
2017,nba,Robert Covington,covinro01,26
2017,nba,Russell Westbrook,westbru01,28
2017,nba,Paul George,georgpa01,26
2017,nba,Kevin Durant,duranke01,28
2017,nba,Dwight Howard,howardw01,31
2017,nba,Mike Conley,conlemi01,29
2017,nba,Jae Crowder,crowdja01,26
2017,nba,Jrue Holiday,holidjr01,26
2017,nba,Wesley Matthews,matthwe02,30
2017,nba,Stephen Curry,curryst01,28
2017,nba,Andre Iguodala,iguodan01,33
2017,nba,Michael Kidd-Gilchrist,kiddgmi01,23
2017,nba,Ricky Rubio,rubiori01,26
2017,nba,P.J. Tucker,tuckepj01,31
2017,nba,Trevor Ariza,arizatr01,31
2017,nba,Nicolas Batum,batumni01,28
2017,nba,Marc Gasol,gasolma01,32
2017,nba,Eric Gordon,gordoer01,28
2017,nba,Karl-Anthony Towns,townska01,21
2017,nba,Steven Adams,adamsst01,23
2017,nba,LaMarcus Aldridge,aldrila01,31
2017,nba,Al-Farouq Aminu,aminual01,26
2017,nba,Kentavious Caldwell-Pope,caldwke01,23
2017,nba,George Hill,hillge01,30
2017,nba,Serge Ibaka,ibakase01,27
2017,nba,Damian Lillard,lillada01,26
2017,nba,Luc Mbah a Moute,mbahalu01,30
2017,nba,Austin Rivers,riverau01,24
